Region Code,Region Name,Country Code,Country Name,Year,Sex,Age group code,Age Group,Number,Percentage of cause-specific deaths out of total deaths,"Age-standardized death rate per 100 000 standard population","Death rate per 100 000 population"
AS,Asia,IRQ,Iraq,2016,All,Age_all,[All],112830.00000000,100.00000000,561.53362869,308.18916210,
AS,Asia,IRQ,Iraq,2016,Male,Age_all,[All],64607.00000000,100.00000000,662.54469461,348.98245635,
AS,Asia,IRQ,Iraq,2016,Female,Age_all,[All],48223.00000000,100.00000000,474.49928841,266.45975970,
AS,Asia,ISR,Israel,2020,All,Age_all,[All],48797.00000000,100.00000000,342.66693583,529.53206110,
AS,Asia,ISR,Israel,2020,Male,Age_all,[All],24920.00000000,100.00000000,418.12213194,544.63053166,
AS,Asia,ISR,Israel,2020,Female,Age_all,[All],23877.00000000,100.00000000,278.13082842,514.64173352,
AS,Asia,JOR,Jordan,2018,All,Age_all,[All],16087.00000000,100.00000000,302.55711671,161.42987108,
AS,Asia,JOR,Jordan,2018,Male,Age_all,[All],9097.00000000,100.00000000,354.71185006,180.37145376,
AS,Asia,JOR,Jordan,2018,Female,Age_all,[All],6990.00000000,100.00000000,255.12630297,142.02002868,
AS,Asia,KAZ,Kazakhstan,2021,All,Age_all,[All],182403.00000000,100.00000000,984.89661731,959.87332406,
AS,Asia,KAZ,Kazakhstan,2021,Male,Age_all,[All],94836.00000000,100.00000000,1305.76741140,1028.07821270,
AS,Asia,KAZ,Kazakhstan,2021,Female,Age_all,[All],87567.00000000,100.00000000,765.00717084,895.53017264,
AS,Asia,KGZ,Kyrgyzstan,2019,All,Age_all,[All],33295.00000000,100.00000000,710.23079515,515.68067293,
AS,Asia,KGZ,Kyrgyzstan,2019,Male,Age_all,[All],18722.00000000,100.00000000,922.31518934,584.40139592,
AS,Asia,KGZ,Kyrgyzstan,2019,Female,Age_all,[All],14573.00000000,100.00000000,545.92530654,448.00093455,
NAC,North America and the Caribbean,KNA,Saint Kitts and Nevis,2016,All,Age_all,[All],401.00000000,100.00000000,,,
NAC,North America and the Caribbean,KNA,Saint Kitts and Nevis,2016,Male,Age_all,[All],243.00000000,100.00000000,,,
NAC,North America and the Caribbean,KNA,Saint Kitts and Nevis,2016,Female,Age_all,[All],158.00000000,100.00000000,,,
AS,Asia,KWT,Kuwait,2019,All,Age_all,[All],7306.00000000,100.00000000,379.81263683,157.08419399,
AS,Asia,KWT,Kuwait,2019,Male,Age_all,[All],4650.00000000,100.00000000,401.20915127,157.99581124,
AS,Asia,KWT,Kuwait,2019,Female,Age_all,[All],2656.00000000,100.00000000,349.69305192,155.51325522,
AS,Asia,LBN,Lebanon,2021,All,Age_all,[All],27579.00000000,100.00000000,415.00794894,407.42214749,
AS,Asia,LBN,Lebanon,2021,Male,Age_all,[All],15668.00000000,100.00000000,505.15102980,459.51930550,
AS,Asia,LBN,Lebanon,2021,Female,Age_all,[All],11911.00000000,100.00000000,337.63944294,354.54670203,
NAC,North America and the Caribbean,LCA,Saint Lucia,2020,All,Age_all,[All],1273.00000000,100.00000000,544.98363181,693.25317083,
NAC,North America and the Caribbean,LCA,Saint Lucia,2020,Male,Age_all,[All],714.00000000,100.00000000,642.56999535,789.63084205,
NAC,North America and the Caribbean,LCA,Saint Lucia,2020,Female,Age_all,[All],558.00000000,100.00000000,453.42039224,598.66748206,
NAC,North America and the Caribbean,LCA,Saint Lucia,2020,Unknown,Age_all,[All],1.00000000,100.00000000,,,
EU,Europe,LVA,Latvia,2021,All,Age_all,[All],34231.00000000,100.00000000,763.82893504,1816.45962570,
EU,Europe,LVA,Latvia,2021,Male,Age_all,[All],15968.00000000,100.00000000,1094.94412140,1830.89660960,
EU,Europe,LVA,Latvia,2021,Female,Age_all,[All],18263.00000000,100.00000000,535.51846785,1804.02213070,
